track_id,domain,grid_square,position_source,identification,in_exclusion_zone,track_confidence,grid_has_confirmed_maritime_exclusion_breach,grid_has_gps_spoofing
75,maritime,GS-11,ais,friendly,1,0.618,0,0
76,maritime,GS-12,ais,unidentified,0,0.935,1,0
77,air,GS-32,radar,unknown,0,0.596,0,1
78,air,GS-23,gps,friendly,0,0.355,0,0
79,air,GS-12,gps,friendly,1,0.54,0,0
80,maritime,GS-11,ais,unidentified,0,0.895,0,0
81,maritime,GS-23,sonar,hostile,0,0.374,0,1
82,air,GS-11,gps,friendly,0,0.934,1,1
83,air,GS-32,gps,friendly,1,0.487,0,0
84,maritime,GS-13,ais,hostile,0,0.659,0,0
85,maritime,GS-31,ais,unidentified,0,0.467,0,0
86,air,GS-12,gps,unidentified,1,0.636,0,0
87,air,GS-13,gps,friendly,1,0.401,1,0
88,air,GS-12,gps,unknown,1,0.325,0,0
89,air,GS-13,radar,unidentified,1,0.336,0,1
90,maritime,GS-13,ais,unknown,0,0.321,1,0
91,air,GS-21,radar,unidentified,1,0.382,0,0
92,air,GS-21,radar,unidentified,0,0.882,0,1
93,air,GS-13,radar,unidentified,1,0.824,0,0
94,air,GS-21,radar,hostile,0,0.717,1,0
95,air,GS-32,radar,hostile,1,0.963,0,0
96,maritime,GS-31,sonar,unknown,0,0.339,0,0
97,air,GS-13,radar,unknown,1,0.813,0,0
98,air,GS-21,gps,hostile,1,0.893,0,0
99,air,GS-11,radar,friendly,0,0.439,1,0
100,air,GS-21,gps,hostile,0,0.754,0,1
101,maritime,GS-31,ais,unidentified,0,0.851,0,0
102,maritime,GS-21,ais,unknown,0,0.388,0,0
103,air,GS-31,gps,unknown,1,0.959,0,0
104,air,GS-32,radar,unidentified,0,0.577,0,0
105,air,GS-12,radar,friendly,0,0.549,0,0
106,air,GS-11,gps,friendly,0,0.624,1,0
107,maritime,GS-31,sonar,hostile,1,0.664,0,0
108,air,GS-31,radar,hostile,0,0.95,0,0
109,air,GS-13,gps,unidentified,0,0.624,0,0
110,maritime,GS-32,sonar,friendly,1,0.833,0,0
111,air,GS-23,gps,hostile,0,0.699,0,0
112,air,GS-31,radar,friendly,0,0.739,0,0
113,maritime,GS-12,ais,unidentified,0,0.562,0,0
114,air,GS-31,gps,friendly,0,0.462,0,0
115,air,GS-23,radar,friendly,0,0.748,0,0
116,air,GS-32,radar,unknown,1,0.492,0,0
117,air,GS-11,gps,friendly,0,0.776,0,0
118,maritime,GS-22,ais,unidentified,0,0.9,0,0
119,air,GS-11,radar,friendly,1,0.455,0,0
120,air,GS-23,gps,unidentified,1,0.304,0,0
121,maritime,GS-11,ais,unidentified,0,0.921,0,0
122,maritime,GS-22,ais,unidentified,0,0.617,0,0
123,air,GS-21,gps,unknown,1,0.406,0,0
124,air,GS-13,gps,friendly,0,0.438,0,0
125,air,GS-12,gps,friendly,1,0.487,0,1
126,maritime,GS-21,sonar,unidentified,0,0.408,0,0
127,air,GS-23,gps,unidentified,0,0.388,0,0
128,maritime,GS-22,ais,friendly,0,0.801,0,1
129,air,GS-11,gps,unidentified,1,0.587,1,0
130,maritime,GS-23,ais,friendly,0,0.451,1,0
131,air,GS-12,radar,unknown,1,0.608,0,0
132,maritime,GS-21,ais,unidentified,0,0.652,1,1
133,air,GS-21,radar,friendly,0,0.352,0,0
134,air,GS-12,radar,hostile,1,0.683,0,0
135,air,GS-22,radar,hostile,0,0.92,0,0
136,air,GS-11,radar,unidentified,0,0.435,0,0
137,maritime,GS-12,ais,friendly,0,0.967,1,0
138,maritime,GS-22,ais,hostile,0,0.662,0,0
139,maritime,GS-12,ais,friendly,0,0.645,0,0
140,maritime,GS-32,ais,unknown,1,0.348,0,0
141,air,GS-13,gps,unknown,0,0.921,1,0
142,air,GS-11,gps,friendly,0,0.711,0,0
143,air,GS-22,gps,friendly,1,0.305,0,0
144,air,GS-23,radar,friendly,1,0.931,0,0
145,air,GS-32,radar,hostile,0,0.505,0,0
146,maritime,GS-12,sonar,friendly,0,0.87,0,0
147,maritime,GS-31,ais,unidentified,0,0.338,0,0
148,air,GS-22,gps,unidentified,0,0.813,0,0
149,air,GS-12,gps,unidentified,1,0.969,1,0
150,air,GS-23,gps,friendly,1,0.451,0,0
151,maritime,GS-31,ais,friendly,1,0.901,0,0
152,air,GS-32,gps,friendly,0,0.846,0,0
153,maritime,GS-22,ais,unknown,0,0.663,0,0
154,air,GS-31,gps,friendly,0,0.816,0,0
155,air,GS-12,radar,friendly,0,0.503,0,0
156,air,GS-11,radar,friendly,1,0.801,0,0
157,air,GS-31,gps,unidentified,0,0.777,1,1
158,maritime,GS-23,ais,friendly,0,0.438,0,0
159,air,GS-32,gps,friendly,1,0.563,0,0
160,air,GS-22,gps,friendly,1,0.771,0,0
161,maritime,GS-31,sonar,friendly,0,0.808,0,0
162,maritime,GS-23,ais,hostile,0,0.326,0,0
163,air,GS-23,gps,unidentified,0,0.472,0,0
164,maritime,GS-21,sonar,unidentified,0,0.696,1,0
165,air,GS-11,gps,friendly,0,0.458,0,0
166,maritime,GS-11,ais,unidentified,0,0.327,1,1
167,maritime,GS-23,ais,unidentified,1,0.473,1,0
168,air,GS-21,gps,friendly,0,0.879,0,0
169,air,GS-11,gps,hostile,0,0.676,0,0
170,air,GS-22,radar,friendly,0,0.942,0,0
171,maritime,GS-22,ais,unidentified,0,0.31,1,1
172,air,GS-32,radar,unidentified,0,0.622,0,0
173,air,GS-12,gps,friendly,1,0.38,0,1
174,air,GS-21,gps,unidentified,0,0.716,0,1
175,air,GS-31,radar,friendly,0,0.499,0,0
176,maritime,GS-23,ais,hostile,1,0.966,0,0
177,air,GS-21,gps,friendly,1,0.351,0,0
178,maritime,GS-31,ais,unidentified,0,0.812,0,0
179,air,GS-32,gps,friendly,0,0.44,0,0
180,air,GS-11,radar,unknown,0,0.639,0,0
181,maritime,GS-21,ais,friendly,1,0.599,0,0
182,maritime,GS-13,sonar,friendly,0,0.361,0,0
183,air,GS-31,gps,unidentified,1,0.623,0,0
184,air,GS-12,radar,friendly,1,0.876,0,0
185,air,GS-12,gps,friendly,1,0.699,0,0
186,air,GS-11,gps,friendly,0,0.4,0,0
187,maritime,GS-32,ais,unidentified,0,0.926,0,0
188,air,GS-23,radar,unidentified,0,0.67,0,0
189,air,GS-21,radar,unknown,0,0.62,0,0
190,air,GS-32,gps,unknown,0,0.481,1,0
191,air,GS-22,radar,friendly,0,0.942,0,1
192,air,GS-31,gps,unidentified,0,0.709,1,0
193,air,GS-11,radar,friendly,0,0.422,1,0
194,maritime,GS-11,sonar,friendly,0,0.364,0,0
195,maritime,GS-11,ais,unidentified,1,0.845,0,0
196,air,GS-11,gps,friendly,1,0.805,0,0
197,air,GS-13,gps,unidentified,0,0.633,0,0
198,maritime,GS-11,ais,friendly,0,0.89,0,0
199,maritime,GS-22,ais,unidentified,0,0.405,0,1
200,air,GS-11,gps,unidentified,1,0.406,0,0
201,maritime,GS-23,ais,unidentified,1,0.479,0,0
202,maritime,GS-31,sonar,friendly,0,0.483,0,0
203,maritime,GS-31,ais,unknown,0,0.664,0,0
204,air,GS-21,gps,unidentified,0,0.502,0,0
205,maritime,GS-31,ais,unidentified,1,0.613,0,0
206,air,GS-31,radar,unknown,1,0.322,0,0
207,air,GS-13,gps,friendly,1,0.635,0,0
208,maritime,GS-12,ais,friendly,0,0.937,0,0
209,air,GS-12,gps,friendly,1,0.672,0,0
210,air,GS-22,radar,unidentified,0,0.546,0,0
211,maritime,GS-21,ais,friendly,0,0.746,0,0
212,air,GS-21,gps,hostile,1,0.981,0,0
213,air,GS-23,radar,unidentified,0,0.854,0,0
214,air,GS-11,radar,unidentified,1,0.956,0,0
215,maritime,GS-11,sonar,friendly,0,0.561,0,0
216,maritime,GS-32,ais,friendly,1,0.666,0,0
217,air,GS-11,radar,unidentified,0,0.931,1,0
218,air,GS-31,radar,friendly,0,0.898,0,0
219,maritime,GS-23,ais,friendly,0,0.768,0,0
220,air,GS-21,radar,unknown,1,0.819,0,0
221,air,GS-13,gps,friendly,0,0.604,0,0
222,air,GS-11,gps,unidentified,0,0.403,0,0
223,maritime,GS-23,sonar,unidentified,0,0.765,0,0
224,air,GS-23,gps,friendly,1,0.417,0,0
225,maritime,GS-13,sonar,unidentified,0,0.689,0,0
226,air,GS-21,gps,friendly,0,0.499,1,0
227,maritime,GS-12,ais,hostile,0,0.638,0,0
228,air,GS-13,gps,unidentified,0,0.878,0,0
229,air,GS-31,gps,friendly,0,0.722,0,0
230,air,GS-32,radar,friendly,1,0.367,0,0
231,maritime,GS-21,ais,hostile,0,0.927,0,0
232,air,GS-13,radar,unidentified,0,0.534,0,0
233,air,GS-11,radar,unknown,0,0.883,0,0
234,air,GS-31,gps,friendly,0,0.986,0,0
235,air,GS-11,radar,unidentified,0,0.781,0,0
236,air,GS-22,gps,friendly,0,0.577,1,0
237,maritime,GS-31,ais,friendly,0,0.469,0,0
238,maritime,GS-31,sonar,friendly,0,0.743,0,0
239,air,GS-23,gps,unknown,0,0.564,0,0
240,maritime,GS-13,sonar,unidentified,1,0.702,0,0
241,maritime,GS-23,ais,friendly,0,0.441,0,0
242,maritime,GS-21,sonar,unidentified,0,0.97,0,0
243,air,GS-22,gps,unidentified,0,0.486,0,0
244,air,GS-23,radar,friendly,1,0.88,0,0
245,air,GS-23,gps,hostile,0,0.478,0,0
246,air,GS-13,gps,unidentified,0,0.715,0,0
247,maritime,GS-21,ais,friendly,0,0.303,0,0
248,air,GS-13,gps,friendly,0,0.744,0,0
249,air,GS-11,radar,friendly,1,0.598,0,0
250,air,GS-31,radar,unidentified,1,0.443,0,0
251,air,GS-23,radar,unidentified,0,0.515,0,0
252,air,GS-22,gps,unidentified,1,0.814,0,0
253,air,GS-13,radar,unidentified,0,0.969,0,0
254,maritime,GS-13,ais,hostile,0,0.843,0,0
255,air,GS-21,radar,friendly,0,0.49,0,0
256,air,GS-31,gps,unidentified,0,0.684,0,0
257,air,GS-13,gps,unidentified,1,0.748,0,0
258,air,GS-22,radar,friendly,0,0.841,0,0
259,maritime,GS-31,sonar,unidentified,0,0.635,1,0
260,maritime,GS-32,sonar,unidentified,0,0.773,0,0
261,air,GS-22,radar,unidentified,0,0.565,1,1
262,air,GS-12,gps,unidentified,0,0.318,0,0
263,maritime,GS-23,sonar,friendly,0,0.492,0,0
264,air,GS-12,gps,hostile,0,0.651,0,0
265,maritime,GS-21,sonar,unidentified,0,0.438,1,0
266,air,GS-12,gps,friendly,0,0.705,0,0
267,maritime,GS-22,sonar,friendly,0,0.822,1,0
268,air,GS-31,radar,unidentified,1,0.463,0,0
269,air,GS-23,radar,friendly,0,0.726,0,0
270,maritime,GS-13,sonar,hostile,0,0.976,0,0
271,maritime,GS-22,ais,unidentified,0,0.811,0,0
272,air,GS-21,gps,unidentified,1,0.757,0,0
273,air,GS-12,radar,unknown,0,0.331,1,1
274,maritime,GS-22,sonar,unidentified,0,0.474,1,0
275,air,GS-21,gps,friendly,1,0.597,0,0
276,maritime,GS-21,ais,unknown,1,0.753,1,0
277,maritime,GS-13,sonar,unidentified,0,0.98,0,0
278,air,GS-21,gps,friendly,0,0.87,0,0
279,air,GS-11,gps,unidentified,1,0.44,1,0
280,air,GS-31,gps,friendly,0,0.715,0,0
281,maritime,GS-32,sonar,friendly,0,0.454,0,0
282,air,GS-11,gps,friendly,0,0.837,1,0
283,maritime,GS-12,sonar,hostile,0,0.932,1,0
284,air,GS-12,radar,unidentified,0,0.899,0,0
285,air,GS-11,radar,unknown,1,0.739,1,0
286,air,GS-22,gps,hostile,1,0.833,0,0
287,air,GS-12,radar,friendly,1,0.559,0,0
288,air,GS-13,radar,friendly,1,0.358,0,0
289,maritime,GS-23,ais,unknown,0,0.509,0,0
290,maritime,GS-31,sonar,unidentified,0,0.424,0,0
291,maritime,GS-23,ais,friendly,0,0.643,0,0
292,air,GS-31,gps,unknown,0,0.53,1,1
293,air,GS-22,gps,unidentified,0,0.496,0,0
294,maritime,GS-12,ais,friendly,1,0.9,0,0
295,air,GS-32,gps,unidentified,1,0.54,0,1
296,air,GS-32,gps,unidentified,0,0.547,0,1
297,air,GS-11,radar,unknown,0,0.802,0,0
298,maritime,GS-32,ais,friendly,1,0.844,0,0
299,maritime,GS-22,ais,friendly,1,0.74,0,0
300,maritime,GS-21,ais,unknown,0,0.493,0,0
301,maritime,GS-31,ais,unidentified,1,0.597,0,0
302,maritime,GS-31,ais,friendly,1,0.948,0,0
303,air,GS-12,gps,friendly,0,0.602,0,0
304,air,GS-22,radar,friendly,0,0.809,0,0
305,maritime,GS-13,ais,hostile,1,0.305,0,0
306,air,GS-31,radar,friendly,0,0.739,0,0
307,air,GS-12,radar,unknown,0,0.487,0,1
308,maritime,GS-23,ais,friendly,0,0.519,1,0
309,maritime,GS-21,sonar,unknown,0,0.59,0,0
310,air,GS-11,gps,unidentified,1,0.353,0,0
311,maritime,GS-22,sonar,hostile,0,0.815,0,0
312,air,GS-12,radar,unknown,0,0.453,0,0
313,air,GS-13,radar,friendly,1,0.974,0,0
314,maritime,GS-23,ais,friendly,0,0.399,0,0
315,air,GS-21,radar,hostile,1,0.425,0,0
316,maritime,GS-12,ais,unknown,0,0.948,0,0
317,air,GS-11,radar,friendly,0,0.894,1,0
318,maritime,GS-11,ais,friendly,1,0.47,0,0
319,maritime,GS-32,ais,hostile,0,0.653,0,0
320,maritime,GS-21,sonar,hostile,0,0.59,0,0
321,maritime,GS-11,ais,friendly,0,0.758,0,0
322,maritime,GS-11,sonar,friendly,1,0.834,0,0
323,maritime,GS-11,ais,friendly,0,0.454,0,0
324,air,GS-23,gps,unknown,0,0.512,0,0
325,maritime,GS-21,ais,friendly,0,0.479,0,0
326,air,GS-13,radar,unknown,0,0.965,0,0
327,air,GS-22,radar,unidentified,1,0.849,0,0
328,air,GS-23,gps,unidentified,0,0.323,1,0
329,air,GS-31,radar,hostile,0,0.913,0,0
330,air,GS-12,radar,unidentified,0,0.868,0,0
331,air,GS-11,gps,friendly,0,0.52,0,0
332,air,GS-23,gps,unidentified,1,0.348,0,0
333,air,GS-22,radar,hostile,0,0.618,0,0
334,air,GS-11,gps,friendly,0,0.78,0,0
335,air,GS-32,gps,friendly,1,0.829,0,1
336,air,GS-12,gps,friendly,0,0.876,0,0
337,maritime,GS-32,ais,unidentified,1,0.831,0,0
338,air,GS-32,gps,unknown,0,0.907,0,0
339,maritime,GS-22,sonar,hostile,0,0.478,0,0
340,air,GS-11,gps,unidentified,1,0.926,0,0
341,air,GS-21,gps,friendly,0,0.706,0,0
342,air,GS-31,gps,friendly,0,0.808,0,0
343,maritime,GS-31,ais,friendly,0,0.927,0,0
344,air,GS-32,gps,unknown,0,0.714,0,0
345,air,GS-11,gps,friendly,0,0.504,0,1
346,air,GS-11,gps,hostile,0,0.682,0,0
347,air,GS-22,gps,friendly,1,0.754,0,0
348,air,GS-11,radar,unidentified,0,0.923,0,0
349,maritime,GS-21,sonar,friendly,1,0.852,0,0
350,maritime,GS-13,ais,friendly,1,0.515,0,0
351,maritime,GS-32,ais,unidentified,1,0.412,0,0
352,air,GS-13,gps,friendly,1,0.358,0,0
353,air,GS-32,gps,unidentified,1,0.333,0,0
354,maritime,GS-12,sonar,unidentified,0,0.69,0,0
355,maritime,GS-12,ais,friendly,0,0.598,0,0
356,air,GS-13,gps,unidentified,0,0.512,0,0
357,maritime,GS-23,ais,unknown,0,0.531,0,0
358,maritime,GS-32,sonar,unknown,0,0.307,0,0
359,maritime,GS-13,ais,unknown,0,0.397,0,0
360,air,GS-23,radar,friendly,0,0.713,0,0
361,air,GS-23,gps,friendly,0,0.491,0,0
362,maritime,GS-32,sonar,unknown,1,0.782,0,0
363,air,GS-12,radar,friendly,1,0.914,0,0
364,maritime,GS-32,sonar,friendly,0,0.629,0,0
365,maritime,GS-31,sonar,unidentified,0,0.535,1,0
366,air,GS-22,radar,hostile,1,0.533,0,0
367,maritime,GS-22,sonar,friendly,0,0.37,0,0
368,maritime,GS-23,ais,hostile,1,0.348,0,0
369,maritime,GS-21,ais,unidentified,0,0.337,0,0
370,air,GS-22,gps,unidentified,0,0.453,1,0
371,maritime,GS-32,ais,unidentified,1,0.755,0,0
372,air,GS-11,gps,friendly,1,0.63,0,0
373,air,GS-32,gps,unidentified,0,0.833,0,0
374,air,GS-21,radar,unidentified,0,0.756,0,0
375,air,GS-21,gps,friendly,0,0.764,0,0
376,air,GS-11,radar,hostile,0,0.627,0,0
377,maritime,GS-11,sonar,unknown,1,0.523,0,0
378,maritime,GS-22,ais,friendly,1,0.945,0,0
379,air,GS-22,radar,friendly,0,0.428,0,0
380,air,GS-21,gps,friendly,0,0.6,0,0
381,air,GS-11,gps,unidentified,1,0.574,0,0
382,air,GS-22,gps,hostile,1,0.407,0,0
383,air,GS-32,gps,hostile,0,0.81,0,0
384,maritime,GS-13,sonar,unknown,0,0.725,0,0
385,maritime,GS-22,ais,unidentified,0,0.405,0,0
386,maritime,GS-11,sonar,unidentified,0,0.626,0,0
387,air,GS-13,radar,hostile,0,0.989,1,0
388,air,GS-11,gps,friendly,0,0.588,0,0
389,air,GS-32,radar,unknown,0,0.77,0,0
390,air,GS-21,radar,friendly,0,0.583,0,0
391,maritime,GS-13,ais,friendly,1,0.39,0,0
392,air,GS-23,gps,friendly,0,0.608,0,0
393,air,GS-11,gps,unidentified,0,0.811,0,0
394,maritime,GS-11,ais,unidentified,1,0.573,0,0
395,maritime,GS-12,ais,unknown,1,0.318,0,0
396,air,GS-13,gps,unidentified,0,0.697,0,0
397,maritime,GS-11,sonar,friendly,0,0.857,0,0
398,air,GS-21,gps,friendly,0,0.535,0,0
399,maritime,GS-21,sonar,unidentified,0,0.302,0,0
400,air,GS-12,radar,unidentified,0,0.954,0,0
401,maritime,GS-32,ais,friendly,0,0.531,0,0
402,air,GS-13,radar,hostile,1,0.659,0,1
403,air,GS-21,radar,friendly,0,0.668,0,0
404,air,GS-12,gps,unidentified,1,0.529,0,0
405,air,GS-13,radar,unknown,1,0.551,0,0
406,air,GS-13,gps,friendly,1,0.48,0,1
407,air,GS-22,radar,hostile,0,0.304,0,0
408,air,GS-23,radar,friendly,0,0.44,0,0
409,maritime,GS-23,sonar,hostile,0,0.496,0,0
410,air,GS-21,gps,friendly,0,0.893,0,0
411,air,GS-11,gps,friendly,0,0.667,0,0
412,air,GS-32,radar,unknown,0,0.785,0,0
413,air,GS-23,gps,unknown,0,0.909,0,0
414,air,GS-32,radar,unidentified,0,0.707,0,0
415,air,GS-13,radar,friendly,0,0.654,1,0
416,air,GS-31,radar,friendly,0,0.302,0,0
417,air,GS-13,radar,hostile,0,0.556,0,0
418,air,GS-21,radar,friendly,0,0.659,0,0
419,air,GS-11,gps,unknown,1,0.833,0,0
420,air,GS-11,gps,friendly,0,0.475,0,0
421,air,GS-12,radar,unidentified,1,0.726,0,1
422,maritime,GS-31,sonar,friendly,0,0.457,0,0
423,maritime,GS-11,sonar,hostile,0,0.372,0,0
424,maritime,GS-21,ais,unidentified,0,0.318,1,0
425,maritime,GS-21,ais,unidentified,0,0.903,0,0
426,maritime,GS-32,ais,unknown,1,0.539,1,0
427,maritime,GS-12,ais,friendly,1,0.618,0,0
428,air,GS-21,radar,hostile,0,0.901,0,0
429,maritime,GS-13,sonar,friendly,0,0.676,0,0
430,maritime,GS-13,ais,friendly,0,0.697,0,0
431,air,GS-31,radar,friendly,1,0.31,0,0
432,maritime,GS-32,sonar,unidentified,0,0.705,0,0
433,maritime,GS-32,ais,friendly,0,0.986,0,1
434,maritime,GS-22,sonar,unidentified,0,0.358,1,0
435,air,GS-31,gps,friendly,0,0.873,0,0
436,air,GS-13,radar,hostile,1,0.898,0,1
437,air,GS-13,radar,friendly,1,0.777,1,0
438,maritime,GS-32,sonar,unidentified,0,0.315,0,0
439,maritime,GS-21,sonar,unidentified,0,0.685,0,0
440,air,GS-31,gps,unknown,0,0.968,1,0
441,air,GS-22,radar,unknown,0,0.6,0,1
442,air,GS-11,gps,friendly,0,0.657,0,0
443,maritime,GS-12,sonar,friendly,0,0.892,0,0
444,maritime,GS-32,sonar,unidentified,0,0.698,0,0
445,maritime,GS-23,sonar,unidentified,0,0.397,0,0
446,maritime,GS-12,sonar,unidentified,0,0.565,1,0
447,air,GS-13,gps,unidentified,0,0.662,1,0
448,maritime,GS-31,ais,friendly,0,0.484,0,0
449,air,GS-32,radar,unidentified,0,0.94,0,0
450,maritime,GS-21,ais,unknown,1,0.559,0,0
451,air,GS-12,gps,hostile,0,0.761,0,0
452,air,GS-32,gps,friendly,0,0.673,1,0
453,maritime,GS-12,sonar,unknown,0,0.848,0,0
454,air,GS-23,gps,friendly,0,0.929,0,0
455,maritime,GS-22,sonar,unidentified,0,0.899,0,1
456,maritime,GS-32,ais,friendly,0,0.502,0,0
457,air,GS-21,radar,unidentified,1,0.834,1,0
458,air,GS-13,gps,unknown,0,0.47,0,0
459,air,GS-23,gps,unidentified,0,0.808,0,0
460,maritime,GS-12,ais,friendly,0,0.331,0,0
461,air,GS-31,radar,hostile,0,0.918,0,0
462,air,GS-12,radar,friendly,0,0.569,0,0
463,maritime,GS-21,ais,friendly,1,0.59,0,0
464,air,GS-11,radar,unidentified,0,0.306,0,1
465,air,GS-22,gps,hostile,0,0.48,0,0
466,air,GS-21,radar,unidentified,0,0.748,0,0
467,maritime,GS-12,sonar,friendly,0,0.738,0,0
468,air,GS-22,radar,unidentified,0,0.984,0,0
469,air,GS-22,gps,unidentified,0,0.834,1,0
470,air,GS-23,gps,unknown,0,0.751,0,1
471,maritime,GS-32,ais,unidentified,0,0.621,0,0
472,air,GS-21,gps,friendly,0,0.689,0,0
473,air,GS-11,gps,hostile,0,0.512,0,0
474,air,GS-23,radar,unknown,0,0.656,0,0
475,maritime,GS-11,ais,unidentified,0,0.651,0,0
476,maritime,GS-12,sonar,unknown,0,0.543,0,0
477,maritime,GS-21,sonar,unidentified,0,0.716,0,0
478,air,GS-23,gps,unidentified,1,0.331,0,0
479,maritime,GS-22,sonar,unidentified,1,0.907,0,0
480,maritime,GS-22,sonar,friendly,1,0.667,0,0
481,air,GS-32,gps,friendly,1,0.89,0,0
482,air,GS-12,radar,friendly,0,0.901,1,0
483,air,GS-23,gps,friendly,0,0.687,0,0
484,maritime,GS-13,ais,friendly,0,0.866,0,0
485,air,GS-31,radar,friendly,0,0.923,0,0
486,maritime,GS-32,ais,unknown,0,0.785,0,0
487,air,GS-32,gps,friendly,1,0.877,0,0
488,maritime,GS-12,ais,friendly,1,0.345,0,1
489,air,GS-22,radar,friendly,1,0.603,0,0
490,air,GS-12,radar,friendly,0,0.754,1,1
491,air,GS-12,gps,friendly,1,0.333,0,0
492,air,GS-31,radar,friendly,1,0.433,0,0
493,air,GS-12,gps,friendly,0,0.935,0,0
494,air,GS-21,gps,unidentified,0,0.633,0,0
495,maritime,GS-23,ais,unidentified,0,0.989,0,0
496,air,GS-23,gps,friendly,0,0.435,0,0
497,air,GS-23,radar,unknown,0,0.893,0,0
498,maritime,GS-12,ais,unknown,1,0.741,0,0
499,air,GS-12,gps,hostile,0,0.932,1,0
500,air,GS-11,gps,friendly,1,0.736,0,0
501,air,GS-13,gps,unknown,0,0.833,0,0
502,air,GS-13,radar,unidentified,1,0.531,1,0
503,maritime,GS-32,sonar,friendly,0,0.435,1,1
504,air,GS-32,radar,unknown,0,0.812,0,0
505,air,GS-21,gps,friendly,1,0.833,0,0
506,air,GS-11,gps,friendly,1,0.354,0,0
507,air,GS-22,gps,unidentified,0,0.427,0,0
508,air,GS-11,radar,friendly,0,0.316,1,0
509,air,GS-13,gps,hostile,1,0.793,1,0
