exchange_id,schema_version,component_id,mandatory_fields_present,field_in_range,requested_capacity,available_capacity,device_state_from,device_state_to,init_health_passed,request_priority,active_allocation_priority,preemption_performed,ack_latency_ms,ack_latency_limit_ms
31,v2,RRM-2,1,1,60,94,ACTIVE,IDLE,0,4,4,1,200,250
32,v3,RRM-2,1,1,26,85,IDLE,INIT,1,5,3,1,277,250
33,v3,RRM-1,1,1,87,90,INIT,ACTIVE,1,3,3,0,18,250
34,v2,RRM-2,1,0,27,42,ACTIVE,IDLE,0,4,3,1,228,250
35,v3,RRM-2,1,0,27,30,INIT,ACTIVE,1,3,1,1,192,250
36,v2,RRM-3,1,1,0,39,ACTIVE,IDLE,1,1,4,0,146,250
37,v3,RRM-1,1,0,28,64,IDLE,INIT,0,5,4,1,179,250
38,v3,RRM-2,1,1,39,54,ACTIVE,ACTIVE,1,2,3,0,206,250
39,v9,RRM-3,1,1,2,29,IDLE,INIT,1,3,3,1,82,250
40,v3,RRM-0,1,1,12,30,ACTIVE,IDLE,1,5,2,1,84,250
41,v2,RRM-3,1,1,21,90,IDLE,INIT,0,1,5,1,70,250
42,v1,RRM-3,0,1,16,71,INIT,ACTIVE,1,3,4,0,210,250
43,v3,RRM-3,1,1,6,49,ACTIVE,IDLE,0,4,1,1,225,250
44,v3,RRM-1,1,1,17,75,INIT,INIT,1,1,3,0,87,250
45,v2,RRM-2,1,1,83,97,INIT,INIT,1,2,5,1,151,250
46,v2,RRM-4,1,1,32,82,INIT,ACTIVE,0,1,3,0,198,250
47,v2,RRM-4,1,1,21,21,INIT,ACTIVE,1,4,3,1,36,250
48,v2,RRM-4,1,1,31,44,IDLE,ACTIVE,1,1,4,0,159,250
49,v3,RRM-2,1,1,70,73,INIT,ACTIVE,1,4,3,1,36,250
50,v3,RRM-2,1,1,23,27,ACTIVE,IDLE,1,4,3,0,188,250
51,v3,RRM-1,1,1,67,88,INIT,ACTIVE,1,1,2,0,61,250
52,v1,RRM-3,1,1,11,79,INIT,ACTIVE,1,2,5,0,136,250
53,v2,RRM-2,1,1,21,53,IDLE,INIT,0,1,3,0,23,250
54,v3,RRM-1,1,1,7,81,ACTIVE,IDLE,1,1,3,1,91,250
55,v1,RRM-4,1,1,26,79,ACTIVE,IDLE,1,4,2,0,197,250
56,v1,RRM-4,1,1,40,44,INIT,ACTIVE,1,3,4,1,461,250
57,v0,RRM-1,1,1,49,52,INIT,ACTIVE,1,2,5,1,49,250
58,v1,RRM-3,1,1,58,51,INIT,ACTIVE,1,3,1,1,177,250
59,v2,RRM-4,1,1,8,27,ACTIVE,IDLE,0,3,4,1,36,250
60,v1,RRM-1,1,1,37,61,ACTIVE,IDLE,1,4,1,0,185,250
61,v3,RRM-3,1,1,18,51,ACTIVE,IDLE,0,3,1,1,390,250
62,v9,RRM-2,1,1,56,99,INIT,ACTIVE,1,5,4,1,180,250
63,v2,RRM-1,0,1,47,96,IDLE,INIT,1,5,3,1,119,250
64,v3,RRM-3,1,0,25,53,IDLE,INIT,1,2,5,0,91,250
65,v9,RRM-1,1,1,61,73,ACTIVE,IDLE,0,1,2,1,49,250
66,v3,RRM-2,0,1,65,79,IDLE,INIT,1,1,3,1,9,250
67,v1,RRM-4,1,1,60,56,INIT,ACTIVE,1,4,4,0,167,250
68,v2,RRM-0,1,1,11,47,IDLE,INIT,0,1,2,0,43,250
69,v3,UNREG-9,1,1,66,84,INIT,ACTIVE,1,5,3,1,8,250
70,v3,RRM-2,1,1,42,36,IDLE,INIT,0,3,5,0,10,250
71,v1,RRM-2,1,1,48,55,IDLE,IDLE,1,4,1,1,44,250
72,v3,RRM-2,1,1,17,79,INIT,ACTIVE,0,5,3,1,172,250
73,v2,RRM-3,1,0,52,70,IDLE,INIT,1,5,2,1,45,250
74,v2,RRM-1,1,1,63,54,IDLE,INIT,0,3,1,1,144,250
75,v1,RRM-2,1,1,83,48,ACTIVE,IDLE,0,4,3,1,101,250
76,v3,RRM-3,1,1,67,93,INIT,ACTIVE,1,4,2,1,151,250
77,v3,RRM-1,1,1,39,73,ACTIVE,IDLE,0,2,2,0,277,250
78,v1,RRM-1,1,1,58,64,ACTIVE,IDLE,0,1,3,0,226,250
79,v3,RRM-1,1,1,32,79,ACTIVE,IDLE,1,5,4,0,129,250
80,v1,RRM-2,1,1,32,33,INIT,ACTIVE,1,2,3,0,96,250
81,v2,RRM-4,1,1,42,86,INIT,ACTIVE,1,2,4,1,114,250
82,v3,RRM-2,1,1,31,51,ACTIVE,IDLE,0,2,5,1,404,250
83,v3,RRM-3,1,1,0,65,IDLE,INIT,1,4,1,1,70,250
84,v2,UNREG-9,1,1,29,42,ACTIVE,IDLE,1,5,4,1,6,250
85,v3,RRM-2,1,1,29,34,ACTIVE,IDLE,0,1,3,1,164,250
86,v3,RRM-1,1,1,67,76,ACTIVE,ACTIVE,1,5,1,1,58,250
87,v2,RRM-2,1,1,52,63,INIT,ACTIVE,1,4,4,0,120,250
88,v3,RRM-4,0,1,14,53,IDLE,INIT,0,5,4,1,147,250
89,v1,RRM-2,1,1,56,62,ACTIVE,IDLE,1,1,4,1,353,250
90,v1,RRM-3,1,1,22,57,IDLE,INIT,1,5,2,1,105,250
91,v1,RRM-4,0,1,3,48,INIT,ACTIVE,1,4,3,1,154,250
92,v3,RRM-0,1,1,49,50,INIT,ACTIVE,1,3,2,1,159,250
93,v3,UNREG-9,1,1,39,55,INIT,ACTIVE,1,2,5,1,151,250
94,v3,RRM-2,1,0,16,72,IDLE,INIT,0,2,1,1,209,250
95,v1,RRM-3,1,1,1,29,INIT,IDLE,1,5,3,1,77,250
96,v2,RRM-2,1,1,20,32,IDLE,INIT,0,4,5,0,124,250
97,v2,RRM-1,1,1,23,63,ACTIVE,IDLE,1,3,3,0,87,250
98,v2,RRM-3,0,1,41,68,ACTIVE,IDLE,0,2,5,0,246,250
99,v2,RRM-1,1,1,37,84,IDLE,INIT,1,3,2,1,470,250
100,v1,RRM-3,1,1,29,78,INIT,ACTIVE,1,4,1,1,48,250
101,v3,RRM-4,0,1,41,54,ACTIVE,IDLE,0,4,4,0,177,250
102,v2,RRM-2,1,1,38,91,INIT,ACTIVE,0,1,5,0,93,250
103,v1,RRM-2,1,1,6,47,INIT,ACTIVE,0,5,1,1,227,250
104,v3,RRM-3,1,1,2,35,IDLE,IDLE,1,4,4,1,170,250
105,v2,RRM-3,1,1,66,70,ACTIVE,IDLE,0,4,1,1,90,250
106,v3,RRM-1,0,1,17,32,ACTIVE,IDLE,0,2,5,1,92,250
107,v2,RRM-2,1,1,17,38,INIT,ACTIVE,1,5,2,1,42,250
108,v1,RRM-2,1,1,50,30,IDLE,INIT,1,1,3,1,77,250
109,v2,RRM-3,1,1,29,41,ACTIVE,IDLE,0,2,1,1,97,250
110,v2,RRM-2,1,0,32,65,INIT,ACTIVE,1,5,3,1,205,250
111,v3,RRM-4,1,0,22,30,IDLE,INIT,1,5,4,1,162,250
112,v3,RRM-3,1,1,11,39,ACTIVE,IDLE,1,2,1,0,111,250
113,v9,RRM-1,1,1,21,52,INIT,ACTIVE,1,1,3,1,199,250
114,v1,RRM-1,1,1,26,59,IDLE,IDLE,1,3,2,1,213,250
115,v1,RRM-4,1,1,67,96,ACTIVE,IDLE,0,1,4,1,209,250
116,v0,RRM-1,1,1,8,60,ACTIVE,IDLE,1,3,1,1,214,250
117,v1,RRM-4,1,1,30,56,INIT,ACTIVE,1,5,4,1,90,250
118,v1,RRM-1,0,1,1,55,INIT,ACTIVE,1,5,4,1,119,250
119,v3,RRM-2,1,1,37,55,INIT,ACTIVE,1,1,1,0,460,250
120,v2,RRM-1,1,1,42,97,IDLE,INIT,0,3,4,0,38,250
121,v9,RRM-2,1,1,8,39,ACTIVE,IDLE,1,1,3,1,226,250
122,v1,RRM-4,1,1,89,99,INIT,ACTIVE,1,5,3,1,41,250
123,v1,RRM-1,1,1,71,45,INIT,ACTIVE,1,3,2,1,95,250
124,v1,RRM-2,1,1,42,93,IDLE,INIT,1,1,2,1,21,250
125,v2,RRM-4,1,1,11,52,INIT,ACTIVE,1,3,5,1,74,250
126,v1,RRM-2,1,1,77,99,IDLE,ACTIVE,1,2,1,1,188,250
127,v3,RRM-1,1,1,84,88,IDLE,INIT,1,3,3,0,391,250
128,v1,RRM-4,1,1,5,20,INIT,ACTIVE,0,4,1,1,41,250
129,v3,RRM-4,1,1,53,60,ACTIVE,IDLE,1,5,3,0,207,250
130,v1,RRM-3,1,1,50,84,INIT,ACTIVE,1,3,1,1,184,250
131,v3,RRM-4,1,1,67,76,INIT,ACTIVE,0,5,4,1,49,250
132,v2,RRM-3,1,1,15,22,ACTIVE,IDLE,0,1,1,0,409,250
133,v2,RRM-4,1,1,33,46,INIT,ACTIVE,1,3,5,0,51,250
134,v1,RRM-2,1,1,82,91,ACTIVE,IDLE,1,4,2,0,173,250
135,v1,UNREG-9,1,1,1,96,IDLE,INIT,1,4,1,1,216,250
136,v3,RRM-2,0,1,40,46,ACTIVE,IDLE,0,5,5,1,211,250
137,v3,RRM-4,1,1,36,37,IDLE,INIT,1,5,5,0,235,250
138,v2,RRM-1,1,1,6,28,INIT,IDLE,1,3,2,1,202,250
139,v1,RRM-1,0,1,39,54,IDLE,INIT,0,2,4,0,133,250
140,v2,RRM-1,1,1,29,20,ACTIVE,IDLE,0,5,3,1,116,250
141,v2,RRM-1,1,1,50,62,INIT,ACTIVE,1,3,3,0,38,250
142,v3,RRM-1,1,1,48,95,INIT,ACTIVE,1,2,4,1,203,250
143,v2,UNREG-9,1,1,62,70,IDLE,INIT,1,4,4,1,19,250
144,v1,RRM-1,1,0,55,62,ACTIVE,IDLE,0,4,4,1,239,250
145,v1,RRM-3,1,1,3,69,INIT,ACTIVE,1,4,2,1,66,250
146,v3,RRM-4,1,1,23,92,INIT,INIT,1,1,4,0,234,250
147,v1,RRM-2,1,1,41,41,INIT,ACTIVE,0,2,5,0,121,250
148,v9,RRM-4,1,1,10,44,INIT,ACTIVE,1,4,1,1,44,250
149,v2,RRM-2,1,1,52,65,INIT,INIT,1,3,2,1,76,250
150,v3,RRM-2,1,1,21,99,IDLE,INIT,0,5,3,1,36,250
151,v2,RRM-3,0,1,24,32,IDLE,INIT,0,5,5,0,49,250
152,v2,RRM-2,1,1,9,22,INIT,ACTIVE,1,5,5,0,32,250
153,v3,RRM-4,1,1,24,32,ACTIVE,IDLE,0,5,4,1,286,250
154,v2,RRM-4,0,1,38,51,INIT,ACTIVE,1,4,5,1,5,250
155,v2,RRM-0,1,1,18,64,IDLE,INIT,1,5,5,0,61,250
156,v3,RRM-2,1,1,31,37,IDLE,INIT,1,1,3,1,300,250
157,v1,RRM-4,0,1,27,69,ACTIVE,IDLE,0,2,5,0,5,250
158,v1,RRM-3,1,1,55,55,INIT,ACTIVE,1,4,3,1,11,250
159,v1,RRM-4,1,1,49,87,INIT,ACTIVE,1,5,5,1,326,250
160,v3,RRM-4,1,1,20,68,INIT,ACTIVE,1,1,4,0,231,250
161,v2,RRM-1,1,1,53,36,ACTIVE,IDLE,0,1,4,1,231,250
162,v3,RRM-2,1,1,10,68,INIT,INIT,1,2,4,1,223,250
163,v2,RRM-3,0,1,29,36,ACTIVE,IDLE,1,2,5,1,60,250
164,v3,RRM-1,1,1,82,85,INIT,ACTIVE,1,2,2,1,36,250
165,v2,RRM-4,1,1,59,62,ACTIVE,IDLE,1,3,1,0,84,250
166,v1,RRM-4,1,1,41,88,ACTIVE,IDLE,1,5,4,0,57,250
167,v3,RRM-1,1,1,62,35,ACTIVE,IDLE,1,2,3,0,118,250
168,v2,RRM-2,1,1,20,66,INIT,ACTIVE,1,1,4,1,132,250
169,v1,RRM-1,1,1,31,53,ACTIVE,IDLE,1,3,2,0,216,250
170,v1,RRM-3,1,1,21,94,IDLE,INIT,0,5,3,1,40,250
171,v0,RRM-1,1,1,2,29,IDLE,INIT,1,5,2,1,118,250
172,v1,RRM-4,1,1,51,51,INIT,ACTIVE,1,2,3,0,330,250
173,v1,RRM-1,1,1,3,20,ACTIVE,IDLE,1,5,2,1,34,250
174,v1,RRM-4,1,1,46,99,IDLE,INIT,0,5,5,1,68,250
175,v3,RRM-3,1,1,26,44,ACTIVE,INIT,1,2,4,0,100,250
176,v1,RRM-2,1,1,1,31,ACTIVE,IDLE,1,5,1,0,9,250
177,v3,RRM-1,1,1,31,70,ACTIVE,IDLE,1,5,4,0,25,250
178,v1,RRM-2,1,0,0,22,INIT,ACTIVE,1,2,2,0,85,250
179,v2,RRM-4,1,1,34,42,IDLE,INIT,0,4,4,0,38,250
180,v2,RRM-3,1,1,48,67,ACTIVE,IDLE,1,4,3,0,19,250
181,v3,RRM-4,1,1,73,90,ACTIVE,IDLE,1,4,2,1,169,250
182,v3,RRM-1,1,1,12,55,ACTIVE,IDLE,0,5,4,1,118,250
183,v1,RRM-1,1,1,12,43,IDLE,INIT,0,4,4,0,16,250
184,v3,RRM-1,1,1,39,43,ACTIVE,IDLE,1,4,2,0,222,250
185,v2,RRM-4,1,1,25,63,INIT,ACTIVE,1,4,3,1,206,250
186,v1,RRM-1,1,1,38,76,ACTIVE,IDLE,1,4,4,0,26,250
187,v2,UNREG-9,1,1,33,99,IDLE,INIT,1,3,1,1,44,250
188,v2,RRM-2,1,1,69,56,ACTIVE,IDLE,0,3,4,1,134,250
189,v2,RRM-1,1,1,75,46,ACTIVE,IDLE,0,5,5,0,224,250
190,v0,RRM-2,1,1,72,84,IDLE,INIT,1,3,3,0,31,250
191,v3,RRM-2,1,1,75,92,ACTIVE,IDLE,0,3,2,1,236,250
192,v2,RRM-2,1,1,23,38,ACTIVE,IDLE,0,5,5,0,235,250
193,v3,RRM-3,1,1,10,59,INIT,IDLE,1,4,4,1,98,250
194,v3,RRM-3,1,1,19,23,IDLE,INIT,1,5,2,1,488,250
195,v2,RRM-1,1,0,47,47,ACTIVE,IDLE,1,3,4,1,126,250
196,v3,RRM-1,1,1,6,41,IDLE,INIT,1,5,4,1,116,250
197,v1,RRM-3,1,1,0,23,ACTIVE,IDLE,1,4,3,0,59,250
198,v3,RRM-3,1,1,21,47,IDLE,INIT,1,4,3,1,56,250
199,v3,RRM-2,1,1,8,39,IDLE,INIT,0,1,5,0,430,250
200,v0,RRM-2,1,1,11,33,IDLE,INIT,1,1,2,0,197,250
201,v2,RRM-4,1,1,1,31,INIT,IDLE,1,1,3,0,118,250
202,v2,RRM-2,1,1,27,66,INIT,ACTIVE,0,2,1,1,27,250
203,v3,RRM-3,1,1,1,52,INIT,ACTIVE,1,2,4,1,39,250
204,v1,RRM-4,1,1,20,44,ACTIVE,IDLE,1,4,2,0,101,250
205,v3,RRM-1,0,1,35,52,IDLE,INIT,0,2,1,1,198,250
206,v3,RRM-2,1,1,63,71,IDLE,INIT,0,1,1,1,220,250
207,v2,RRM-3,0,1,52,73,IDLE,INIT,0,5,2,1,78,250
208,v3,RRM-2,1,1,43,90,IDLE,INIT,1,3,2,1,189,250
209,v1,RRM-1,1,1,12,25,ACTIVE,INIT,1,5,5,1,126,250
210,v3,RRM-4,1,1,40,95,ACTIVE,IDLE,0,5,3,1,207,250
211,v1,RRM-3,1,1,61,79,INIT,ACTIVE,0,3,2,1,77,250
212,v9,RRM-2,1,1,54,75,ACTIVE,IDLE,0,4,5,1,21,250
213,v1,RRM-2,0,1,63,100,ACTIVE,IDLE,0,2,2,0,165,250
214,v1,RRM-1,1,1,17,25,ACTIVE,IDLE,1,5,3,0,216,250
215,v2,RRM-1,1,1,29,37,INIT,ACTIVE,1,1,4,1,142,250
216,v3,RRM-3,1,1,59,80,IDLE,IDLE,1,2,5,0,99,250
217,v1,RRM-0,1,1,19,30,ACTIVE,IDLE,0,5,3,1,169,250
218,v1,RRM-1,1,0,24,79,IDLE,INIT,1,2,2,0,59,250
219,v2,RRM-3,1,1,13,30,ACTIVE,IDLE,1,4,2,1,65,250
220,v2,RRM-1,1,0,12,27,ACTIVE,IDLE,0,4,3,1,199,250
221,v2,RRM-2,1,0,77,100,ACTIVE,IDLE,1,3,4,0,92,250
222,v1,RRM-2,1,1,35,81,ACTIVE,IDLE,1,1,4,1,171,250
223,v2,RRM-1,1,1,53,59,IDLE,INIT,0,2,4,1,241,250
224,v3,RRM-4,1,1,13,28,INIT,ACTIVE,1,2,3,0,458,250
225,v2,RRM-3,0,1,3,47,INIT,ACTIVE,1,2,3,0,47,250
226,v1,RRM-1,1,1,26,94,ACTIVE,IDLE,1,4,3,0,38,250
227,v3,RRM-4,1,1,54,60,ACTIVE,IDLE,1,4,4,0,346,250
228,v1,RRM-1,1,1,31,87,INIT,IDLE,1,2,1,1,30,250
229,v2,RRM-2,1,1,18,80,ACTIVE,IDLE,1,1,4,1,318,250
230,v1,RRM-0,1,1,7,72,ACTIVE,IDLE,1,5,1,1,148,250
231,v3,RRM-4,1,1,15,89,ACTIVE,IDLE,0,4,4,1,338,250
232,v2,RRM-1,1,1,91,58,INIT,ACTIVE,1,2,1,1,189,250
233,v2,RRM-4,1,1,51,51,INIT,ACTIVE,1,3,4,0,192,250
234,v1,RRM-1,1,0,61,93,INIT,ACTIVE,1,4,4,0,99,250
235,v3,RRM-2,1,0,33,56,INIT,ACTIVE,1,2,1,1,101,250
236,v2,RRM-4,1,1,78,80,IDLE,INIT,1,4,4,0,125,250
237,v0,RRM-1,1,1,4,96,IDLE,INIT,1,3,4,0,230,250
238,v2,RRM-1,1,1,49,87,ACTIVE,IDLE,1,3,5,1,226,250
239,v1,RRM-1,1,1,22,33,ACTIVE,IDLE,0,1,4,0,189,250
240,v2,RRM-1,1,1,24,58,IDLE,IDLE,1,4,2,1,211,250
241,v3,RRM-4,1,1,8,22,INIT,ACTIVE,1,1,2,1,138,250
242,v2,RRM-2,1,0,1,66,ACTIVE,IDLE,0,2,4,1,19,250
243,v2,RRM-2,1,1,18,95,ACTIVE,INIT,1,2,4,1,11,250
244,v0,RRM-4,1,1,19,97,ACTIVE,IDLE,1,1,1,1,207,250
245,v2,RRM-3,1,1,46,87,ACTIVE,IDLE,1,5,3,0,87,250
246,v2,RRM-2,1,1,38,27,ACTIVE,IDLE,0,4,3,1,228,250
247,v2,RRM-1,1,1,35,35,IDLE,INIT,0,1,3,1,54,250
248,v1,RRM-2,1,1,37,67,IDLE,INIT,1,2,5,0,32,250
249,v2,RRM-2,1,1,32,23,IDLE,INIT,1,2,2,1,13,250
250,v2,RRM-4,0,1,14,36,IDLE,INIT,0,2,2,1,16,250
251,v2,RRM-3,1,1,10,34,INIT,IDLE,1,3,3,1,9,250
252,v9,RRM-2,1,1,25,32,INIT,ACTIVE,1,5,5,0,145,250
253,v1,RRM-4,1,1,54,65,IDLE,INIT,0,3,5,0,210,250
254,v0,RRM-1,1,1,62,94,ACTIVE,IDLE,1,5,3,1,58,250
255,v1,RRM-3,1,1,27,30,IDLE,INIT,0,2,2,1,290,250
256,v3,UNREG-9,1,1,68,85,IDLE,INIT,1,4,1,1,227,250
257,v3,RRM-3,1,1,6,34,IDLE,INIT,0,3,1,1,197,250
258,v2,RRM-3,1,1,39,53,ACTIVE,IDLE,1,5,5,0,228,250
259,v3,RRM-2,1,0,24,54,ACTIVE,IDLE,0,2,5,1,143,250
260,v2,RRM-1,1,1,6,30,INIT,ACTIVE,1,1,3,0,207,250
261,v0,RRM-1,1,1,57,82,INIT,ACTIVE,1,5,4,1,9,250
262,v3,RRM-1,1,0,37,67,INIT,ACTIVE,1,2,5,0,13,250
263,v3,RRM-3,1,1,36,38,IDLE,INIT,0,2,4,1,488,250
264,v2,UNREG-9,1,1,10,27,ACTIVE,IDLE,0,2,1,1,236,250
265,v1,UNREG-9,1,1,73,96,ACTIVE,IDLE,1,4,2,1,205,250
266,v1,RRM-2,1,1,68,81,ACTIVE,IDLE,1,5,2,0,209,250
267,v2,RRM-1,1,0,12,29,IDLE,INIT,1,3,3,1,126,250
268,v3,RRM-1,1,1,43,75,INIT,INIT,1,3,3,1,48,250
269,v3,RRM-1,1,1,42,94,IDLE,INIT,0,5,3,1,134,250
270,v1,RRM-3,1,1,48,75,INIT,ACTIVE,0,5,4,1,58,250
271,v1,RRM-3,1,0,25,84,IDLE,INIT,1,3,3,1,54,250
272,v9,RRM-4,1,1,29,81,INIT,ACTIVE,1,2,5,1,103,250
273,v0,RRM-3,1,1,22,98,IDLE,INIT,0,2,5,1,44,250
274,v1,UNREG-9,1,1,34,57,ACTIVE,IDLE,1,3,5,1,212,250
275,v3,RRM-2,1,1,3,36,ACTIVE,IDLE,0,4,2,1,188,250
276,v1,RRM-3,1,1,24,82,ACTIVE,IDLE,1,1,3,0,13,250
277,v1,RRM-1,0,1,95,100,INIT,ACTIVE,1,2,2,0,137,250
278,v2,RRM-1,1,1,29,46,ACTIVE,IDLE,1,4,3,0,44,250
279,v3,RRM-1,1,1,3,31,INIT,IDLE,1,3,1,1,108,250
280,v3,RRM-4,0,1,55,57,IDLE,INIT,0,4,2,1,162,250
281,v9,RRM-4,1,1,28,100,ACTIVE,IDLE,0,1,1,1,141,250
282,v1,RRM-4,1,1,21,63,INIT,ACTIVE,0,4,3,1,124,250
283,v3,RRM-4,1,1,62,63,ACTIVE,ACTIVE,1,3,2,1,9,250
284,v9,RRM-3,1,1,14,21,ACTIVE,IDLE,0,2,5,1,155,250
285,v3,RRM-1,1,1,23,66,IDLE,IDLE,1,2,1,1,51,250
286,v3,RRM-3,1,1,45,90,INIT,ACTIVE,1,5,2,1,29,250
287,v3,RRM-4,1,1,11,30,ACTIVE,IDLE,0,3,5,0,104,250
288,v9,RRM-1,1,1,25,27,ACTIVE,IDLE,1,5,3,1,152,250
289,v9,RRM-2,1,1,29,91,INIT,ACTIVE,1,1,2,1,225,250
290,v2,RRM-2,1,0,31,63,INIT,ACTIVE,1,3,1,1,8,250
291,v3,UNREG-9,1,1,29,51,INIT,ACTIVE,1,4,2,1,248,250
292,v1,RRM-4,1,1,37,68,ACTIVE,IDLE,1,4,2,1,100,250
293,v2,RRM-4,1,1,70,97,INIT,ACTIVE,1,2,4,1,180,250
294,v3,RRM-1,1,1,5,81,ACTIVE,IDLE,1,2,3,1,159,250
295,v1,RRM-0,1,1,21,67,IDLE,INIT,0,1,1,1,19,250
296,v2,RRM-3,1,1,9,66,ACTIVE,IDLE,0,2,2,1,295,250
297,v3,RRM-2,1,1,23,72,IDLE,IDLE,1,1,4,0,23,250
298,v3,RRM-0,1,1,38,55,ACTIVE,IDLE,0,3,4,1,228,250
299,v1,RRM-2,1,1,12,44,ACTIVE,IDLE,0,4,3,1,221,250
300,v1,RRM-2,1,0,21,90,IDLE,INIT,1,4,1,1,23,250
301,v1,RRM-4,1,1,3,34,ACTIVE,IDLE,1,4,5,0,50,250
302,v9,RRM-3,1,1,18,21,INIT,ACTIVE,1,4,5,1,16,250
303,v3,RRM-4,1,0,46,79,ACTIVE,IDLE,0,1,4,1,114,250
304,v1,RRM-4,0,1,52,65,INIT,ACTIVE,1,1,5,1,31,250
305,v1,RRM-1,1,1,46,52,INIT,ACTIVE,1,5,3,1,95,250
306,v2,RRM-3,1,1,15,53,ACTIVE,IDLE,1,5,4,0,40,250
307,v3,RRM-2,1,1,7,23,INIT,ACTIVE,1,2,3,0,152,250
308,v3,RRM-4,1,1,3,21,ACTIVE,IDLE,1,5,2,0,49,250
309,v0,RRM-1,1,1,18,34,ACTIVE,IDLE,0,4,4,0,90,250
310,v3,RRM-1,1,0,51,60,ACTIVE,IDLE,1,1,5,0,9,250
311,v1,UNREG-9,1,1,5,20,IDLE,INIT,0,1,1,0,127,250
312,v3,RRM-2,1,1,3,42,INIT,ACTIVE,0,2,3,0,148,250
313,v3,RRM-2,1,1,4,25,ACTIVE,ACTIVE,1,5,5,0,53,250
314,v3,RRM-2,1,1,67,86,IDLE,ACTIVE,1,2,3,0,34,250
315,v2,RRM-3,1,1,17,28,INIT,ACTIVE,1,2,2,0,170,250
316,v3,RRM-1,1,1,42,42,ACTIVE,IDLE,1,4,2,0,222,250
317,v0,RRM-1,1,1,45,72,IDLE,INIT,0,1,4,1,11,250
318,v3,RRM-4,1,0,4,94,IDLE,INIT,0,1,1,1,249,250
319,v1,RRM-1,1,0,27,41,IDLE,INIT,1,5,2,1,112,250
320,v3,RRM-2,1,1,5,80,IDLE,INIT,0,3,3,0,50,250
321,v2,RRM-2,1,1,30,47,ACTIVE,IDLE,1,4,3,0,93,250
322,v3,RRM-3,1,1,32,84,IDLE,INIT,0,5,1,1,41,250
323,v3,RRM-2,0,1,18,74,IDLE,INIT,1,3,5,1,237,250
324,v2,RRM-4,1,1,30,56,INIT,ACTIVE,1,2,1,1,272,250
325,v3,RRM-4,1,1,2,45,ACTIVE,IDLE,1,5,2,0,165,250
326,v1,UNREG-9,1,1,47,50,ACTIVE,IDLE,1,3,2,1,86,250
327,v2,RRM-2,1,1,1,22,ACTIVE,IDLE,1,5,4,0,36,250
328,v3,RRM-1,1,1,15,25,INIT,ACTIVE,1,1,2,0,83,250
329,v1,RRM-3,1,1,10,74,INIT,IDLE,1,4,4,0,211,250
330,v3,RRM-1,1,1,26,28,ACTIVE,IDLE,1,2,3,0,239,250
