track_number,icao24,callsign,origin_country,position_source,mode3a_code,emergency_squawk,spi,iff_mode,flight_plan_correlated,on_ground,baro_altitude_ft,geo_altitude_ft,ground_speed_kts,track_angle_deg,vertical_rate_fpm,latitude_deg,longitude_deg,in_restricted_zone,corridor_compliant,origin_known,sensor_platform,sensor_latitude,sensor_longitude,sensor_true_altitude_ft,slant_range_m,track_confidence
19,afeb14,N358,Netherlands,ads_b,2317,0,0,mode3_valid,1,0,1131,1131,637,79,-3651,47.4112,8.5862,1,0,1,GS-RADAR-02,47.5,9.0,1500,32641,0.881
20,afaa03,BAW663,Netherlands,fused,2702,0,0,mode3_valid,1,1,31461,31461,201,333,-4613,47.42575,8.54384,1,1,1,GS-RADAR-02,47.5,9.0,1500,36434,0.916
21,a9940d,DLH177,Germany,ads_b,,0,0,no_response,1,0,32093,32093,525,118,3170,47.02686,8.0329,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,19448,0.883
22,8795a2,DLH962,Switzerland,flarm,5140,0,0,mode3_invalid,0,0,12335,12335,398,248,-3881,47.44085,8.5447,1,1,1,GS-RADAR-02,47.5,9.0,1500,35004,0.526
23,2187a8,N410,,ads_b,3576,0,0,mode3_valid,1,0,37510,37510,480,228,2254,47.33687,8.18592,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,48951,0.863
24,df5bcd,BAW506,Netherlands,asterix_radar,5034,0,0,mode3_invalid,1,0,418,418,264,312,-5662,46.99779,8.04081,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,17116,0.718
25,2db7dd,SWR162,,ads_b,6730,0,0,mode3_valid,1,0,12841,12841,114,210,-3559,47.40414,8.54538,1,1,0,GS-RADAR-02,47.5,9.0,1500,35973,0.879
26,1b2f1c,SWR865,Italy,fused,1500,0,0,mode3_valid,1,0,16045,16045,231,336,-4996,47.40767,8.59488,1,0,1,GS-RADAR-02,47.5,9.0,1500,32448,0.913
27,b07483,SWR307,Switzerland,ads_b,5254,0,0,mode3_valid,1,0,26085,26085,535,145,-2559,47.62087,9.47492,0,1,1,GS-RADAR-02,47.5,9.0,1500,38816,0.862
28,469522,SWR650,Austria,ads_b,5677,0,0,mode3_valid,1,0,36969,36969,172,2,2777,47.09559,8.31264,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,24070,0.857
29,748610,UNKNOWN,,ads_b,,0,0,no_response,0,0,36666,36666,339,263,-2077,47.34219,7.11959,0,1,0,GS-RADAR-01,47.0,7.5,1800,48863,0.876
30,7e6e69,DLH43,Netherlands,ads_b,3535,0,0,mode3_valid,1,0,10696,10696,215,344,-344,47.02318,8.00924,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,20053,0.828
31,a6b28e,AFR578,,asterix_radar,7015,0,0,mode3_invalid,1,0,30822,30822,412,48,3928,47.14971,7.90654,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,35791,0.736
32,e33190,BAW83,,mlat,,0,0,no_response,1,0,30156,30156,444,181,-2904,46.84995,8.62977,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,33344,0.54
33,872d16,EJU89,Switzerland,fused,1015,0,0,mode3_valid,1,0,29432,29432,287,332,2616,47.36938,7.50725,0,1,1,GS-RADAR-01,47.0,7.5,1800,41931,0.934
34,dd03d7,SWR720,Netherlands,fused,6176,0,0,mode3_valid,0,0,2546,2546,409,3,-812,47.21851,7.04657,0,1,1,GS-RADAR-01,47.0,7.5,1800,42046,0.878
35,c42dea,DLH155,Switzerland,fused,4234,0,0,mode3_valid,0,0,25857,25857,287,249,-1290,46.67705,7.64853,0,1,1,GS-RADAR-01,47.0,7.5,1800,38353,0.859
36,0d583b,AFR112,,asterix_radar,2016,0,0,mode3_invalid,1,0,32644,32644,410,248,3102,46.70223,8.10304,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,23622,0.71
37,58da70,BAW473,France,ads_b,2073,0,0,mode3_valid,0,0,28030,28030,563,317,-1285,47.67915,9.13454,0,1,1,GS-RADAR-02,47.5,9.0,1500,23749,0.885
38,712755,N324,,ads_b,7475,0,0,mode3_valid,0,1,477,477,276,312,3733,47.02069,6.8265,0,1,0,GS-RADAR-01,47.0,7.5,1800,51117,0.874
39,4f507c,EJU983,Italy,ads_b,,0,0,no_response,1,0,563,563,643,208,1423,47.37669,7.08355,0,1,1,GS-RADAR-01,47.0,7.5,1800,52391,0.847
40,047d8f,AUA661,Austria,ads_b,7127,0,0,mode3_valid,0,0,18702,18702,381,34,-136,47.49891,8.51353,1,1,1,GS-RADAR-02,47.5,9.0,1500,36919,0.82
41,55b6cd,EJU853,Germany,asterix_radar,4765,0,0,mode3_invalid,1,0,34447,34447,125,43,-47,47.41691,8.5012,1,1,1,GS-RADAR-02,47.5,9.0,1500,39906,0.687
42,c976b0,AUA960,Germany,fused,7606,0,0,mode3_valid,1,0,17563,17563,509,303,-4073,46.54525,7.0317,0,1,1,GS-RADAR-01,47.0,7.5,1800,62064,0.961
43,d17dd5,DLH708,Austria,mlat,4255,0,0,mode3_invalid,0,0,12896,12896,443,105,2388,47.08134,8.94685,0,1,1,GS-RADAR-02,47.5,9.0,1500,46853,0.559
44,b36f2a,EJU514,Germany,ads_b,1436,0,0,mode3_valid,0,1,385,385,91,235,-3467,47.42249,8.58248,1,1,1,GS-RADAR-02,47.5,9.0,1500,32551,0.858
45,5266c2,UNKNOWN,Austria,ads_b,5254,0,1,mode3_invalid,0,0,13910,13910,482,133,1874,47.48929,8.54226,1,0,1,GS-RADAR-02,47.5,9.0,1500,34617,0.86
46,b2f0e1,EJU599,Switzerland,ads_b,6757,0,1,mode3_valid,1,0,5727,5727,171,164,1817,46.61761,6.97648,0,1,1,GS-RADAR-01,47.0,7.5,1800,58281,0.881
47,096376,N439,Switzerland,mlat,7526,0,1,mode3_invalid,1,0,36116,36116,169,209,4446,47.52583,7.95413,0,1,1,GS-RADAR-01,47.0,7.5,1800,68574,0.574
48,2a8ef5,UNKNOWN,Germany,ads_b,3054,0,0,mode3_invalid,0,0,13936,13936,88,189,-5371,46.93281,7.68258,0,1,1,GS-RADAR-01,47.0,7.5,1800,16169,0.898
49,09b371,SWR963,Switzerland,ads_b,1516,0,0,mode3_valid,0,0,37465,37465,530,190,-5874,47.56551,7.65162,0,1,1,GS-RADAR-01,47.0,7.5,1800,64831,0.865
50,43fbe5,N72,France,ads_b,2572,0,0,mode3_valid,1,0,9267,9267,257,143,3834,47.01099,7.96344,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,21949,0.874
51,5c3dfd,N226,,ads_b,7537,0,0,mode3_valid,1,0,37421,37421,545,97,5149,47.52774,6.68346,0,1,0,GS-RADAR-01,47.0,7.5,1800,85777,0.893
52,4bcd8b,AUA264,Switzerland,ads_b,4552,0,0,mode3_valid,0,0,4936,4936,534,275,-5339,46.56475,7.92482,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,42957,0.864
53,4ca9d4,UNKNOWN,Switzerland,mlat,2740,0,0,mode3_invalid,0,0,4112,4112,163,60,-5711,47.48934,7.63784,0,1,1,GS-RADAR-01,47.0,7.5,1800,55402,0.58
54,e3ec4e,AUA106,Italy,ads_b,7542,0,0,mode3_valid,0,0,19596,19596,203,212,1441,46.99932,8.13533,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,12095,0.866
55,2614a2,UNKNOWN,Austria,ads_b,6243,0,0,mode3_invalid,0,0,30450,30450,262,357,4068,47.45976,8.53,1,0,1,GS-RADAR-02,47.5,9.0,1500,36680,0.854
56,8c8a87,AFR691,France,ads_b,5306,0,0,mode3_valid,0,0,10087,10087,124,123,2107,46.96679,7.97192,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,18997,0.88
57,a77cf0,DLH476,Germany,ads_b,6241,0,0,mode3_valid,0,0,29830,29830,97,343,4933,46.8205,9.32399,0,1,1,GS-RADAR-02,47.5,9.0,1500,79896,0.826
58,96e3cb,SWR37,Netherlands,ads_b,3773,0,0,mode3_valid,1,0,21074,21074,213,96,2578,47.01352,8.03319,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,17902,0.86
59,31ad6d,BAW82,France,mlat,4745,0,0,mode3_invalid,1,0,6444,6444,327,114,-4710,46.76175,7.29498,0,1,1,GS-RADAR-01,47.0,7.5,1800,30767,0.551
60,93b167,EJU991,Italy,ads_b,3605,0,0,mode3_valid,1,0,4373,4373,469,91,-2806,46.67184,9.15599,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,77192,0.882
61,7e63bf,AUA256,Netherlands,fused,7201,0,0,mode3_valid,1,0,5849,5849,298,80,1003,47.7874,6.69393,0,1,1,GS-RADAR-01,47.0,7.5,1800,106530,0.902
62,b586d0,DLH395,Switzerland,ads_b,5422,0,1,mode3_valid,1,0,26300,26300,322,169,-930,46.90095,6.53002,0,1,1,GS-RADAR-01,47.0,7.5,1800,74818,0.89
63,1e8084,AUA63,Germany,asterix_radar,,0,0,no_response,1,0,35398,35398,224,2,4151,46.54546,6.60938,0,1,1,GS-RADAR-01,47.0,7.5,1800,85203,0.71
64,625c24,EJU17,France,ads_b,5057,0,0,mode3_valid,0,0,37685,37685,196,162,-61,47.47854,8.55911,1,1,1,GS-RADAR-02,47.5,9.0,1500,34996,0.845
65,98fc28,DLH601,,flarm,1253,0,0,mode3_invalid,1,0,11164,11164,486,79,-81,47.63408,7.52033,0,1,0,GS-RADAR-01,47.0,7.5,1800,70580,0.537
66,6d1ead,BAW402,Italy,mlat,4473,0,0,mode3_invalid,1,1,889,889,108,253,-2925,47.23933,8.73346,0,1,1,GS-RADAR-02,47.5,9.0,1500,35257,0.532
67,5c5cf0,DLH490,Germany,asterix_radar,5720,0,0,mode3_invalid,1,1,27724,27724,121,329,-5513,46.65022,6.71403,0,1,1,GS-RADAR-01,47.0,7.5,1800,71770,0.73
68,99a1e4,DLH967,Italy,ads_b,5234,0,0,mode3_valid,1,0,25079,25079,144,197,-2143,47.26143,8.69589,0,1,1,GS-RADAR-02,47.5,9.0,1500,35772,0.873
69,50fb6e,DLH775,Netherlands,asterix_radar,2310,0,0,mode3_invalid,1,0,10604,10604,217,114,-747,47.6804,7.09685,0,1,1,GS-RADAR-01,47.0,7.5,1800,81571,0.689
70,b2f848,BAW687,,ads_b,,0,0,no_response,1,0,4199,4199,172,289,-1951,47.40757,8.58888,1,0,0,GS-RADAR-02,47.5,9.0,1500,32585,0.874
71,e40bf2,BAW210,,asterix_radar,1766,0,0,mode3_invalid,1,0,18212,18212,190,211,-1008,47.13497,9.4139,0,1,0,GS-RADAR-02,47.5,9.0,1500,51448,0.696
72,7351c6,UNKNOWN,,asterix_radar,3105,0,0,mode3_invalid,0,0,24240,24240,288,123,-4339,46.78081,7.77279,0,1,0,GS-RADAR-01,47.0,7.5,1800,32718,0.753
73,6e5b5a,SWR348,Netherlands,ads_b,,0,0,no_response,1,0,9216,9216,540,273,1801,47.61687,8.03975,0,1,1,GS-RADAR-02,47.5,9.0,1500,73255,0.811
74,0e8abb,EJU941,France,ads_b,,0,0,no_response,1,1,7551,7551,535,230,5427,47.70874,8.97694,0,1,1,GS-RADAR-02,47.5,9.0,1500,23348,0.868
75,8d8587,BAW130,Netherlands,ads_b,2305,0,0,mode3_valid,1,0,943,943,480,294,4483,46.97107,7.58715,0,1,1,GS-RADAR-01,47.0,7.5,1800,7356,0.844
76,28aef3,UNKNOWN,France,fused,7177,0,0,mode3_invalid,0,0,21348,21348,166,296,-5619,46.97508,7.97056,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,19344,0.921
77,1d4487,EJU961,,asterix_radar,1410,0,0,mode3_invalid,1,0,8129,8129,399,33,-1462,46.60233,7.75235,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,47621,0.758
78,f15dd4,AUA671,France,ads_b,6320,0,0,mode3_valid,1,0,21368,21368,138,121,-2312,47.36063,7.08577,0,1,1,GS-RADAR-01,47.0,7.5,1800,51221,0.828
79,fc4323,AFR856,Netherlands,asterix_radar,1147,0,0,mode3_invalid,1,0,15400,15400,123,331,844,46.77121,9.45873,0,1,1,GS-RADAR-02,47.5,9.0,1500,88254,0.76
80,7ecff2,UNKNOWN,Austria,asterix_radar,5550,0,0,mode3_invalid,0,0,38105,38105,400,15,-326,46.59965,9.14928,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,79898,0.674
81,8afd41,N23,Austria,ads_b,5125,0,0,mode3_valid,0,0,10813,10813,147,225,4687,47.37003,6.52011,0,1,1,GS-RADAR-01,47.0,7.5,1800,84758,0.843
82,b27b31,EJU107,,ads_b,4361,0,0,mode3_valid,1,0,3909,3909,105,154,-4288,47.20431,6.63761,0,1,0,GS-RADAR-01,47.0,7.5,1800,69116,0.869
83,d13668,SWR833,Italy,ads_b,4742,0,0,mode3_valid,1,0,32440,32440,551,16,-1435,46.67953,6.70983,0,1,1,GS-RADAR-01,47.0,7.5,1800,70492,0.881
84,e4b5f7,SWR625,Switzerland,ads_b,7377,0,0,mode3_valid,1,0,32633,32633,394,175,-4447,46.95738,7.98277,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,18240,0.856
85,3483a3,AFR570,Italy,ads_b,1547,0,0,mode3_valid,1,0,29555,29555,354,144,2703,47.65884,7.28755,0,1,1,GS-RADAR-01,47.0,7.5,1800,75464,0.852
86,495a27,BAW504,Switzerland,ads_b,2244,0,0,mode3_valid,1,0,36476,36476,457,340,4834,47.07284,7.92094,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,29140,0.821
87,a3ed3b,N447,Netherlands,ads_b,7700,1,0,emergency,0,0,39140,39140,277,256,4312,47.48108,6.82165,0,1,1,GS-RADAR-01,47.0,7.5,1800,74923,0.904
88,811b3d,EJU305,Germany,flarm,5035,0,0,mode3_invalid,0,0,29355,29355,394,213,2420,46.96878,7.98533,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,18334,0.523
89,f2140e,EJU913,Austria,ads_b,1546,0,0,mode3_valid,1,0,3877,3877,103,183,5566,47.2715,7.98871,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,44506,0.869
90,829d46,N593,Netherlands,ads_b,4404,0,0,mode3_valid,1,0,18189,18189,396,296,2593,47.40879,8.50011,1,1,1,GS-RADAR-02,47.5,9.0,1500,39260,0.866
91,5836dc,N851,Austria,asterix_radar,2201,0,0,mode3_invalid,0,0,20541,20541,357,84,-1329,47.09674,7.38075,0,1,1,GS-RADAR-01,47.0,7.5,1800,15164,0.691
92,6f583f,AFR195,Netherlands,asterix_radar,1554,0,0,mode3_invalid,1,0,36948,36948,448,19,3717,47.36143,7.77767,0,1,1,GS-RADAR-01,47.0,7.5,1800,46586,0.694
93,49aee9,UNKNOWN,Austria,ads_b,1657,0,0,mode3_invalid,0,1,33558,33558,389,167,-1073,47.42135,8.52547,1,1,1,GS-RADAR-02,47.5,9.0,1500,38008,0.855
94,dc9d0b,BAW396,Switzerland,ads_b,7304,0,0,mode3_valid,1,0,16939,16939,376,159,3863,47.37144,8.52112,1,1,1,GS-RADAR-02,47.5,9.0,1500,39035,0.859
95,29bf80,N258,,asterix_radar,6306,0,0,mode3_invalid,1,0,33064,33064,545,37,-4865,46.96182,9.22335,0,1,0,GS-RADAR-02,47.5,9.0,1500,62914,0.703
96,7d72b6,AUA893,Austria,ads_b,2344,0,0,mode3_valid,0,0,33474,33474,322,109,-2380,47.43837,8.54555,1,0,1,GS-RADAR-02,47.5,9.0,1500,36177,0.836
97,3e2b62,DLH96,Switzerland,fused,1575,0,0,mode3_valid,1,0,798,798,680,254,-2131,46.67111,7.54604,0,1,1,GS-RADAR-01,47.0,7.5,1800,36739,0.916
98,b2edbd,UNKNOWN,Italy,mlat,6266,0,0,mode3_invalid,0,0,28523,28523,395,201,-3850,46.66701,6.60089,0,1,1,GS-RADAR-01,47.0,7.5,1800,78200,0.583
99,1ca37b,EJU135,Netherlands,fused,5663,0,0,mode3_valid,1,0,26490,26490,234,315,-4880,47.44131,8.58859,1,1,1,GS-RADAR-02,47.5,9.0,1500,32509,0.871
100,5f6709,AUA790,Switzerland,ads_b,,0,0,no_response,1,0,2014,2014,541,269,-745,46.66548,6.78315,0,1,1,GS-RADAR-01,47.0,7.5,1800,66009,0.884
101,e57518,EJU393,Italy,asterix_radar,2663,0,0,mode3_invalid,1,0,21709,21709,444,332,-975,47.47308,9.25042,0,1,1,GS-RADAR-02,47.5,9.0,1500,20024,0.71
102,d9ba0e,AUA593,Austria,ads_b,7036,0,0,mode3_valid,1,0,10795,10795,462,208,5854,46.56399,8.20469,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,37429,0.864
103,38f3a3,N330,France,ads_b,5133,0,0,mode3_valid,0,0,2356,2356,370,35,5297,46.61087,9.0388,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,71691,0.839
104,62678b,AFR949,Germany,ads_b,4253,0,0,mode3_valid,1,0,17290,17290,118,24,-5071,47.76652,7.17876,0,1,1,GS-RADAR-01,47.0,7.5,1800,88723,0.86
105,5bfae4,SWR935,Austria,flarm,3621,0,0,mode3_invalid,1,0,26574,26574,550,191,4449,46.64177,8.73633,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,49997,0.509
106,bd24b5,EJU14,Austria,asterix_radar,4427,0,0,mode3_invalid,1,0,10232,10232,403,215,5212,47.02404,8.04627,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,18219,0.737
107,be4ef4,UNKNOWN,Germany,fused,1331,0,0,mode3_invalid,0,0,8343,8343,342,353,5283,47.14786,8.71223,0,1,1,GS-RADAR-02,47.5,9.0,1500,44810,0.888
108,a02794,DLH794,Austria,ads_b,4720,0,0,mode3_valid,0,1,17342,17342,445,78,-4067,47.04018,7.99874,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,21822,0.85
109,71c3f0,DLH243,Italy,ads_b,,0,0,no_response,1,0,12827,12827,235,128,1847,47.46468,9.4124,0,1,1,GS-RADAR-02,47.5,9.0,1500,31428,0.869
110,3959b5,SWR350,,ads_b,5466,0,0,mode3_valid,1,0,727,727,622,316,-4579,47.31022,9.37217,0,1,0,GS-RADAR-02,47.5,9.0,1500,35069,0.828
111,0dc147,SWR777,Austria,asterix_radar,2513,0,0,mode3_invalid,1,0,15997,15997,295,243,3192,47.3863,8.67286,0,1,1,GS-RADAR-02,47.5,9.0,1500,28011,0.696
112,7fe253,UNKNOWN,Switzerland,ads_b,5330,0,0,mode3_invalid,0,0,14356,14356,226,144,5108,47.35826,7.4473,0,1,1,GS-RADAR-01,47.0,7.5,1800,40217,0.832
113,d2652e,AFR668,Italy,fused,7606,0,0,mode3_valid,1,0,1718,1718,434,1,-935,47.03293,8.00512,1,0,1,UAS-ORBIT-09,46.9,8.2,18000,21489,0.939
114,343fbe,SWR242,,ads_b,1031,0,0,mode3_valid,1,0,12035,12035,420,213,-4688,47.74559,9.10574,0,1,0,GS-RADAR-02,47.5,9.0,1500,28616,0.839
115,6978d9,SWR267,Austria,fused,4530,0,0,mode3_valid,1,0,7367,7367,434,33,-3407,46.80663,8.80122,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,46994,0.871
116,e156f6,AFR864,Netherlands,ads_b,3725,0,0,mode3_valid,0,0,30944,30944,206,86,1575,46.832,7.4334,0,1,1,GS-RADAR-01,47.0,7.5,1800,21295,0.881
117,15339b,DLH574,Austria,fused,3004,0,0,mode3_valid,1,0,1526,1526,482,172,-5294,47.43756,8.59926,1,0,1,GS-RADAR-02,47.5,9.0,1500,30911,0.887
118,086b3c,UNKNOWN,France,fused,3472,0,0,mode3_invalid,0,0,14013,14013,398,17,-4441,47.41706,8.58526,1,1,1,GS-RADAR-02,47.5,9.0,1500,32739,0.906
119,8dec31,SWR476,France,asterix_radar,1106,0,0,mode3_invalid,1,0,17909,17909,154,93,5221,46.98485,8.82623,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,48468,0.733
120,ce3ff9,AUA602,Germany,ads_b,7540,0,0,mode3_valid,1,0,34807,34807,350,106,-4105,47.64262,6.79812,0,1,1,GS-RADAR-01,47.0,7.5,1800,89476,0.839
121,e6362f,UNKNOWN,,ads_b,,0,0,no_response,0,0,25055,25055,493,179,-99,46.58561,9.26174,0,1,0,UAS-ORBIT-09,46.9,8.2,18000,88158,0.832
122,2a7559,UNKNOWN,Switzerland,asterix_radar,1577,0,0,mode3_invalid,0,0,20052,20052,224,82,-1986,47.56587,6.96986,0,1,1,GS-RADAR-01,47.0,7.5,1800,74760,0.736
123,08b945,UNKNOWN,Germany,ads_b,2531,0,0,mode3_invalid,0,0,8367,8367,524,16,5853,47.3048,8.60607,0,1,1,GS-RADAR-02,47.5,9.0,1500,36803,0.862
124,ee362a,UNKNOWN,Switzerland,asterix_radar,2047,0,0,mode3_invalid,0,0,9779,9779,87,353,316,47.02671,7.1877,0,1,1,GS-RADAR-01,47.0,7.5,1800,23986,0.726
125,ffc847,AFR887,Austria,asterix_radar,1674,0,0,mode3_invalid,1,0,31818,31818,343,113,-4053,47.47207,7.8714,0,1,1,GS-RADAR-01,47.0,7.5,1800,60210,0.681
126,96c2f9,AFR778,France,ads_b,2460,0,0,mode3_valid,1,0,8863,8863,562,109,2350,47.45181,8.51859,1,0,1,GS-RADAR-02,47.5,9.0,1500,36644,0.827
127,c3d8d7,BAW326,Austria,ads_b,6230,0,0,mode3_valid,0,0,34859,34859,296,176,3459,47.63247,9.24195,0,1,1,GS-RADAR-02,47.5,9.0,1500,25492,0.845
128,8927b0,BAW725,Netherlands,ads_b,1562,0,0,mode3_valid,1,0,11707,11707,395,201,-2632,46.5839,8.9043,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,64181,0.834
129,e9c150,DLH260,Netherlands,flarm,6750,0,0,mode3_invalid,1,0,33653,33653,552,145,1142,47.36547,8.97978,0,1,1,GS-RADAR-02,47.5,9.0,1500,17948,0.505
130,e83c3f,AFR195,France,asterix_radar,1370,0,0,mode3_invalid,1,0,4022,4022,446,223,569,47.07507,8.6481,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,39399,0.733
131,9b7a37,SWR693,Italy,ads_b,3606,0,0,mode3_valid,1,0,33393,33393,423,352,4097,47.73292,8.45267,0,1,1,GS-RADAR-02,47.5,9.0,1500,49480,0.835
132,e9f82d,UNKNOWN,Italy,ads_b,2224,0,0,mode3_invalid,0,0,20071,20071,198,25,-557,47.00857,7.96569,1,1,1,UAS-ORBIT-09,46.9,8.2,18000,21503,0.887
133,04adcc,BAW575,Netherlands,fused,1675,0,0,mode3_valid,1,0,21162,21162,472,24,1287,47.35609,7.61453,0,1,1,GS-RADAR-01,47.0,7.5,1800,40957,0.921
134,c5104d,BAW927,Austria,ads_b,5120,0,0,mode3_valid,1,0,11856,11856,230,159,5467,47.02995,9.32845,0,1,1,GS-RADAR-02,47.5,9.0,1500,57931,0.89
135,49df6d,N713,Italy,asterix_radar,7750,0,0,mode3_invalid,1,0,14547,14547,484,332,1128,46.7078,7.99791,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,26352,0.713
136,aecb11,EJU579,Austria,fused,4342,0,0,mode3_valid,1,0,26327,26327,202,356,-4938,47.00935,7.27907,0,1,1,GS-RADAR-01,47.0,7.5,1800,18374,0.948
137,530389,UNKNOWN,Austria,ads_b,4740,0,0,mode3_invalid,0,0,13781,13781,242,10,-1899,47.60814,7.74541,0,1,1,GS-RADAR-01,47.0,7.5,1800,70203,0.877
138,5444b9,AUA634,Netherlands,fused,5540,0,0,mode3_valid,1,0,28612,28612,110,295,-331,47.15316,7.46623,0,1,1,GS-RADAR-01,47.0,7.5,1800,19062,0.884
139,bb39ab,N277,Netherlands,fused,6234,0,0,mode3_valid,1,0,4977,4977,168,167,-1822,46.76361,8.80218,0,1,1,UAS-ORBIT-09,46.9,8.2,18000,48417,0.932
